title	type	genres	releaseYear	imdbId	imdbAverageRating	imdbNumVotes	availableCountries
Saw III	movie	Horror, Mystery, Thriller	2006.0	tt0489270	6.2	217673.0	BR, CL, CO, IN, MX
Saw II	movie	Horror, Mystery	2005.0	tt0432348	6.6	283248.0	BR, CL, CO, IN, MX
Ali: Fear Eats the Soul	movie	Drama, Romance	1974.0	tt0071141	8.0	24521.0	DE, GB
Indiana Jones and the Kingdom of the Crystal Skull	movie	Action, Adventure	2008.0	tt0367882	6.2	497412.0	AR, AU, BO, BR, CL, CO, CR, DO, EC, GT, HN, MX, NI, PA, PE, PY, SV, US, VE
The Terminator	movie	Action, Adventure, Sci-Fi	1984.0	tt0088247	8.1	945905.0	BR, CL, CO, MX, US
Volver	movie	Comedy, Drama	2006.0	tt0441909	7.6	108849.0	DE
The Outsiders	movie	Crime, Drama	1983.0	tt0086066	7.0	101395.0	DE, GB
Muriel's Wedding	movie	Comedy, Drama	1994.0	tt0110598	7.2	42917.0	DE
The Godfather	movie	Crime, Drama	1972.0	tt0068646	9.2	2068252.0	AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE
The Godfather Part II	movie	Crime, Drama	1974.0	tt0071562	9.0	1396813.0	AT, AU, CA, CH, DE, FR, GB, IE, IT, US
Natural Born Killers	movie	Action, Crime, Romance	1994.0	tt0110632	7.2	256467.0	DE
The Godfather Part III	movie	Crime, Drama	1990.0	tt0099674	7.6	432108.0	AR, BO, BR, CL, CO, CR, DO, EC, GT, HN, MX, NI, PA, PE, PY, SV, VE
King Kong	movie	Adventure, Horror	1933.0	tt0024216	7.9	92584.0	DE
About a Boy	movie	Comedy, Drama, Romance	2002.0	tt0276751	7.1	193570.0	AU
In China They Eat Dogs	movie	Action, Comedy, Crime	1999.0	tt0180748	7.3	23353.0	DE
Ghost	movie	Drama, Fantasy, Romance	1990.0	tt0099653	7.1	242099.0	AT, CA, CH, DE, FR, GB, IE, IT, US
King Kong	movie	Action, Adventure, Romance	2005.0	tt0360717	7.2	453729.0	AU, US
Stolen Kisses	movie	Comedy, Drama, Romance	1968.0	tt0062695	7.5	15549.0	DE, GB
Antoine and Colette	movie	Comedy, Drama, Romance	1962.0	tt1180329	7.5	6619.0	DE
Bed & Board	movie	Comedy, Drama, Romance	1970.0	tt0065651	7.4	10887.0	DE, GB
Love on the Run	movie	Comedy, Drama, Romance	1979.0	tt0078771	7.0	7698.0	DE, GB
The King of Comedy	movie	Comedy, Crime, Drama	1982.0	tt0085794	7.8	122985.0	DE
Contempt	movie	Drama, Romance	1963.0	tt0057345	7.4	36855.0	GB
Live Flesh	movie	Drama	1997.0	tt0118819	7.3	34291.0	DE
Breathless	movie	Crime, Drama	1960.0	tt0053472	7.7	89669.0	DE, GB
Fargo	movie	Crime, Drama, Thriller	1996.0	tt0116282	8.1	740122.0	BR, CL, CO, MX
Terminator 2: Judgment Day	movie	Action, Adventure, Sci-Fi	1991.0	tt0103064	8.6	1204254.0	US
The Apartment	movie	Comedy, Drama, Romance	1960.0	tt0053604	8.3	202165.0	CL, CO, MX
Swimming Pool	movie	Crime, Drama, Mystery	2003.0	tt0324133	6.7	49168.0	AT, CH, DE, FR
Beverly Hills Cop III	movie	Action, Comedy, Crime	1994.0	tt0109254	5.5	96120.0	AR, AT, AU, BO, BR, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE
Rome, Open City	movie	Drama, Thriller, War	1945.0	tt0038890	8.0	29928.0	GB
The Celebration	movie	Drama	1998.0	tt0154420	8.0	95645.0	DE
Once Upon a Time in America	movie	Crime, Drama	1984.0	tt0087843	8.3	386147.0	US
Snow Cake	movie	Drama, Romance	2006.0	tt0448124	7.4	13439.0	US
The Million Dollar Hotel	movie	Drama, Mystery, Thriller	2000.0	tt0120753	5.7	22680.0	DE, US
Insomnia	movie	Drama, Mystery, Thriller	2002.0	tt0278504	7.2	324737.0	US
Snakes on a Plane	movie	Action, Adventure, Crime	2006.0	tt0417148	5.5	146132.0	CA, US
Jurassic Park	movie	Action, Adventure, Sci-Fi	1993.0	tt0107290	8.2	1093489.0	AU
The Lost World: Jurassic Park	movie	Action, Adventure, Sci-Fi	1997.0	tt0119567	6.6	451868.0	AU
Jurassic Park III	movie	Action, Adventure, Sci-Fi	2001.0	tt0163025	5.9	346799.0	AU
Bollywood/Hollywood	movie	Comedy, Drama, Musical	2002.0	tt0303785	5.9	2593.0	CA
Magnolia	movie	Drama	1999.0	tt0175880	8.0	333621.0	US
Duck, You Sucker!	movie	Drama, War, Western	1971.0	tt0067140	7.6	38481.0	BR
Night on Earth	movie	Comedy, Drama	1991.0	tt0102536	7.7	67489.0	DE
Eyes Wide Shut	movie	Drama, Mystery, Thriller	1999.0	tt0120663	7.5	386805.0	US
Seven Samurai	movie	Action, Drama	1954.0	tt0047478	8.6	375676.0	GB
Head-On	movie	Drama, Romance	2004.0	tt0347048	7.9	58602.0	DE
To Catch a Thief	movie	Mystery, Romance, Thriller	1955.0	tt0048728	7.4	81858.0	DE, US
Das Boot	movie	Drama, War	1981.0	tt0082096	8.4	270229.0	GB
